15640,6,Sport,,,,,Softball / baseball,Pitching,Pitching,Vigorous intensity
15650,12,Sport,,,,,Squash,General,General,Vigorous intensity
2065,9,Physical activity,P,,,,Stair-treadmill ergometer  ,General,General,Vigorous intensity
2012,5.5,Physical activity,P,,,,Stationary bicycling ,"100 watts, light effor ","100 watts, light effor ",Moderate intensity
2013,7,Physical activity,P,,,,Stationary bicycling ,"150 watts, moderate effor ","150 watts, moderate effor ",Moderate intensity
2014,10.5,Physical activity,P,,,,Stationary bicycling ,"200 watts, vigorous effor ","200 watts, vigorous effor ",Vigorous intensity
2015,12.5,Physical activity,P,,,,Stationary bicycling ,"250 watts, very vigorous effor ","250 watts, very vigorous effor ",Vigorous intensity
2011,3,Physical activity,P,,,,Stationary bicycling ,"50 watts, very light effor ","50 watts, very light effor ",Vigorous intensity
2010,7,Physical activity,P,,,,Stationary bicycling ,General ,General ,Vigorous intensity
2072,7,Physical activity,P,,,,Stationary rowers,100 watts moderate effort ,100 watts moderate effort ,Moderate intensity
2073,8.5,Physical activity,P,,,,Stationary rowers,150 watts vigorous effort ,150 watts vigorous effort ,Vigorous intensity
2074,12,Physical activity,P,,,,Stationary rowers,200 watts very vigorous effort ,200 watts very vigorous effort ,Vigorous intensity
2071,3.5,Physical activity,P,,,,Stationary rowers,50 watts light effort ,50 watts light effort ,Vigorous intensity
2070,7,Physical activity,P,,,,Stationary rowers,General,General,Vigorous intensity
2100,2.5,Physical activity,,,P,,Stretching ,Hatha yoga ,Hatha yoga ,Light Intensity
2101,2.5,Physical activity,,,P,,Stretching ,Mild,Mild,Light Intensity
18220,3,Recreational activity,,,,,Surfing ,Body surfing & body boarding,Body surfing & body boarding,Moderate intensity
18250,7,Physical activity,P,,,,Swimming,Backstroke general,Backstroke general,Moderate intensity
18260,10,Physical activity,P,,,,Swimming,Breaststroke general,Breaststroke general,Vigorous intensity
18270,11,Physical activity,P,,,,Swimming,Butterfly general,Butterfly general,Vigorous intensity
18280,11,Physical activity,P,,,,Swimming,Crawl fast  vigorous effort,Crawl fast  vigorous effort,Vigorous intensity
18290,8,Physical activity,P,,,,Swimming,Crawl slow  moderate or light effort,Crawl slow  moderate or light effort,Vigorous intensity
18230,10,Physical activity,P,,,,Swimming,Laps freestyle fast vigorous effort,Laps freestyle fast vigorous effort,Vigorous intensity
18240,7,Physical activity,P,,,,Swimming,Laps freestyle slow moderate or light effort,Laps freestyle slow moderate or light effort,Vigorous intensity
18310,6,Physical activity,P,,,,Swimming,Leisurely not lap swimming general,Leisurely not lap swimming general,Vigorous intensity
18300,6,Physical activity,P,,,,Swimming,"Open water - Lake, ocean, river","Open water - Lake, ocean, river",Vigorous intensity
18320,8,Physical activity,P,,,,Swimming,Sidestroke general,Sidestroke general,Vigorous intensity
18340,10,Physical activity,P,,,,Swimming,Treading water fast vigorous effort,Treading water fast vigorous effort,Vigorous intensity
18350,4,Physical activity,,,,,Swimming,Treading water moderate effort general,Treading water moderate effort general,Vigorous intensity
18330,8,Physical activity,P,,,,Synchronized swimming,Synchronized swimming,Synchronized swimming,Vigorous intensity
15660,4,Sport,,,,,Table tennis ,General,General,Moderate intensity
15670,4,Sport,,,,,Tai chi,General,General,Moderate intensity
15680,6,Sport,,,,,Tennis,Double,Double,Vigorous intensity
15675,7,Sport,,,,,Tennis,General,General,Vigorous intensity
15690,8,Sport,,,,,Tennis,Single,Single,Vigorous intensity
15733,6,Sport,,,,,Track and field,"high jump, long jump, triple jump, javelin, pole vault","high jump, long jump, triple jump, javelin, pole vault",Moderate intensity
15732,4,Sport,,,,,Track and field,shot discus hammer throw,shot discus hammer throw,Vigorous intensity
15734,10,Sport,,,,,Track and field,steeplechase hurdles,steeplechase hurdles,Vigorous intensity
15700,3.5,Sport,,,,,Trampoline ,General,General,Moderate intensity
1070,5,Physical activity,P,,,,Unicycling,General ,General ,Moderate intensity
15725,8,Sport,,,,,Volleyball,Beach ,Beach ,Moderate intensity
15711,8,Sport,,,,,Volleyball,"Competitive, in gymnasium","Competitive, in gymnasium",Vigorous intensity
15720,3,Sport,,,,,Volleyball,Non-competitive 6 - 9 member team genera ,Non-competitive 6 - 9 member team genera ,Vigorous intensity
17152,2.5,Recreational activity,,,,,Walking,3.2 kph level slow pace firm surface ,2 mph level slow pace firm surface ,Light Intensity
17180,2.8,Physical activity,P,,,,Walking,4.0 kph downhill,2.5 mph downhill,Light Intensity
17170,3,Physical activity,P,,,,Walking,4.0 kph firm surface,2.5 mph firm surface,Light Intensity
17190,3.3,Physical activity,P,,,,Walking,4.8 kph level moderate pace firm surface ,3.0 mph level moderate pace firm surface ,Light Intensity
17200,3.8,Physical activity,P,,,,Walking,5.6 kph level brisk firm surface walking for exercise ,3.5 mph level brisk firm surface walking for exercise ,Light Intensity
17210,6,Physical activity,P,,,,Walking,5.6 kph uphill,3.5 mph uphill,Moderate intensity
17220,5,Physical activity,P,,,,Walking,6.4 kph level firm surface very brisk pace ,4.0 mph level firm surface very brisk pace ,Moderate intensity
17230,6.3,Physical activity,P,,,,Walking,7.2 kph level firm surface very very brisk ,4.5 mph level firm surface very very brisk ,Moderate intensity
17231,8,Physical activity,P,,,,Walking,8.0 kph ,5.0 mph,Moderate intensity
